1566457318155	mozrunner::runner	INFO	Running command: "/usr/bin/firefox" "-marionette" "-foreground" "-no-remote" "-profile" "/tmp/rust_mozprofile.QtrLafeMOeSe"
1566457318759	addons.webextension.screenshots@mozilla.org	WARN	Loading extension 'screenshots@mozilla.org': Reading manifest: Invalid extension permission: mozillaAddons
1566457318759	addons.webextension.screenshots@mozilla.org	WARN	Loading extension 'screenshots@mozilla.org': Reading manifest: Invalid extension permission: telemetry
1566457318760	addons.webextension.screenshots@mozilla.org	WARN	Loading extension 'screenshots@mozilla.org': Reading manifest: Invalid extension permission: resource://pdf.js/
1566457318760	addons.webextension.screenshots@mozilla.org	WARN	Loading extension 'screenshots@mozilla.org': Reading manifest: Invalid extension permission: about:reader*
1566457321040	Marionette	INFO	Listening on port 33787
1566457321104	Marionette	WARN	TLS certificate errors will be ignored for this session

(/usr/lib/firefox/firefox:31603): dconf-WARNING **: 13:02:04.873: Unable to open /var/lib/snapd/desktop/dconf/profile/user: Permission denied
[Child 31603, Chrome_ChildThread] WARNING: pipe error: Broken pipe: file /build/firefox-OPBHTt/firefox-68.0.2+build1/ipc/chromium/src/chrome/common/ipc_channel_posix.cc, line 727
1566457347055	Marionette	INFO	Stopped listening on port 33787
1566457783226	mozrunner::runner	INFO	Running command: "/usr/bin/firefox" "-marionette" "-foreground" "-no-remote" "-profile" "/tmp/rust_mozprofile.a87RDa3jvyCY"
1566457783756	addons.webextension.screenshots@mozilla.org	WARN	Loading extension 'screenshots@mozilla.org': Reading manifest: Invalid extension permission: mozillaAddons
1566457783757	addons.webextension.screenshots@mozilla.org	WARN	Loading extension 'screenshots@mozilla.org': Reading manifest: Invalid extension permission: telemetry
1566457783757	addons.webextension.screenshots@mozilla.org	WARN	Loading extension 'screenshots@mozilla.org': Reading manifest: Invalid extension permission: resource://pdf.js/
1566457783757	addons.webextension.screenshots@mozilla.org	WARN	Loading extension 'screenshots@mozilla.org': Reading manifest: Invalid extension permission: about:reader*
1566457785928	Marionette	INFO	Listening on port 33819
1566457786013	Marionette	WARN	TLS certificate errors will be ignored for this session

(/usr/lib/firefox/firefox:32184): dconf-WARNING **: 13:09:50.291: Unable to open /var/lib/snapd/desktop/dconf/profile/user: Permission denied

###!!! [Child][RunMessage] Error: Channel closing: too late to send/recv, messages will be lost

1566457801439	Marionette	INFO	Stopped listening on port 33819
